Activity,Timestamp
stacking blocks,4.160601854324341
using controller,73.09596490859985
thumbs up,111.9339280128479
pouring water,117.6816999912262
writing,173.74682593345642
open palm,212.21113896369934
open palm,218.95696592330933
peace,223.31052207946777
moving an object,231.52573585510254
pointing finger,252.33693194389343
ok sign,257.2706699371338
pointing finger,263.6174829006195
open palm,267.42419505119324
pointing finger,271.227313041687
peace,275.317941904068
ok sign,279.4181549549103
thumbs up,283.8148138523102
ok sign,289.02409195899963
thumbs up,293.33421301841736
peace,298.5718529224396
