Activity,Timestamp
pouring water,5.070043087005615
pointing finger,50.37561893463135
thumbs up,58.20517897605896
writing,62.3711040019989
using controller,116.81491708755493
thumbs up,139.8920259475708
stacking blocks,143.66014695167542
peace,184.36672616004944
open palm,188.2792830467224
peace,192.6896390914917
pointing finger,196.67703914642334
thumbs up,201.42844915390015
moving an object,206.46327710151672
open palm,235.07012605667114
pointing finger,240.28336906433105
ok sign,244.6403830051422
open palm,249.0701060295105
ok sign,254.62724494934082
peace,259.10485005378723
ok sign,263.23808312416077
