Activity,Timestamp
moving an object,5.429445028305054
ok sign,37.30306601524353
stacking blocks,47.83538293838501
open palm,90.15906715393066
writing,96.72601509094238
ok sign,144.4700789451599
peace,149.4339189529419
thumbs up,158.67694401741028
peace,163.20500993728638
thumbs up,168.4170961380005
pouring water,173.76829314231873
using controller,219.39213395118713
thumbs up,248.42040610313416
pointing finger,254.45110893249512
open palm,259.66103315353394
ok sign,265.5189549922943
peace,271.5900990962982
pointing finger,277.7427999973297
pointing finger,283.9307789802551
open palm,289.45299315452576
