Activity,Timestamp
stacking blocks,4.07981014251709
moving an object,38.7568941116333
using controller,62.14513802528381
thumbs up,92.55287098884583
writing,96.7891321182251
open palm,141.32804012298584
pouring water,203.16051816940308
peace,231.69385409355164
peace,236.34294295310974
ok sign,240.14913201332092
open palm,244.23095297813416
open palm,248.8671679496765
ok sign,253.42975497245789
thumbs up,258.593798160553
pointing finger,267.8489329814911
thumbs up,272.59017395973206
pointing finger,277.5618691444397
ok sign,281.4541320800781
pointing finger,286.98914408683777
peace,291.60817313194275
