Activity,Timestamp
moving an object,3.8266761302948
writing,20.786216020584106
using controller,44.33082604408264
pouring water,69.31760907173157
ok sign,100.58184814453125
pointing finger,106.63800406455994
open palm,109.9669041633606
peace,113.69219517707825
stacking blocks,117.05630111694336
thumbs up,149.77818298339844
pointing finger,152.47019720077515
peace,155.13362002372742
thumbs up,157.61102509498596
ok sign,160.434956073761
open palm,164.5888090133667
open palm,167.38706016540527
peace,170.45670413970947
thumbs up,172.9986391067505
ok sign,175.14721012115479
pointing finger,178.1208951473236
