Activity,Timestamp
using controller,4.6135241985321045
pouring water,27.214492082595825
open palm,53.78381109237671
writing,58.65485119819641
moving an object,92.0560040473938
thumbs up,108.88801097869873
stacking blocks,112.82898211479187
open palm,147.4883451461792
peace,149.87711811065674
pointing finger,152.03089809417725
thumbs up,155.90015721321106
thumbs up,158.08290600776672
pointing finger,160.3872091770172
pointing finger,163.5508050918579
peace,166.11392211914062
ok sign,169.06881713867188
ok sign,171.99310898780823
peace,174.08179903030396
open palm,177.4967701435089
ok sign,180.70175504684448
