Activity,Timestamp
thumbs up,4.048341989517212
pouring water,9.987396955490112
pointing finger,40.161258935928345
writing,43.28415298461914
ok sign,71.29665613174438
open palm,74.15601205825806
open palm,76.93719601631165
moving an object,79.58618593215942
thumbs up,93.63900113105774
peace,95.547935962677
ok sign,98.16514492034912
ok sign,100.98331594467163
using controller,103.89167594909668
pointing finger,119.71562004089355
stacking blocks,123.5602240562439
peace,154.95164799690247
thumbs up,157.01801991462708
peace,159.06630897521973
pointing finger,161.16498804092407
open palm,163.70335698127747
