Activity,Timestamp
pouring water,6.042672157287598
ok sign,36.102965116500854
thumbs up,39.759953022003174
writing,43.380845069885254
open palm,76.59570813179016
thumbs up,82.88308215141296
peace,86.77825403213501
pointing finger,90.94817209243774
stacking blocks,95.33385515213013
peace,131.38994908332825
open palm,134.89814710617065
pointing finger,139.43018507957458
peace,144.301833152771
using controller,148.0228250026703
pointing finger,171.3292989730835
ok sign,174.8354561328888
thumbs up,178.80100202560425
ok sign,181.57142400741577
open palm,184.68372511863708
moving an object,188.07263803482056
