Activity,Timestamp
pointing finger,4.159479141235352
stacking blocks,8.96780014038086
pouring water,38.258569955825806
thumbs up,59.388514041900635
writing,61.69684910774231
pointing finger,76.88896298408508
moving an object,80.25982093811035
using controller,101.7355329990387
peace,118.25372505187988
ok sign,122.59460997581482
open palm,128.3715410232544
open palm,132.66191911697388
open palm,136.57459115982056
thumbs up,141.447261095047
ok sign,146.54880595207214
peace,152.5601041316986
thumbs up,156.1930570602417
pointing finger,161.31975293159485
peace,165.2546100616455
ok sign,169.19384598731995
