Activity,Timestamp
peace,4.093203067779541
pointing finger,9.084353923797607
peace,13.501277923583984
thumbs up,17.974205017089844
ok sign,22.343272924423218
open palm,28.69765305519104
open palm,34.268975019454956
ok sign,38.84800601005554
stacking blocks,42.7171049118042
open palm,100.95315504074097
moving an object,104.81466007232666
peace,141.17804098129272
pointing finger,143.7347469329834
ok sign,146.27129101753235
using controller,149.09517788887024
writing,174.16434288024902
pointing finger,206.73700785636902
pouring water,211.93234205245972
thumbs up,255.2129349708557
thumbs up,257.7202379703522
