Activity,Timestamp
open palm,6.0344109535217285
thumbs up,12.28727102279663
open palm,15.69138503074646
moving an object,18.61369490623474
open palm,34.99707102775574
writing,37.83037090301514
ok sign,62.92986702919006
pouring water,66.14286708831787
peace,90.15709710121155
stacking blocks,92.88520407676697
using controller,123.89816808700562
peace,140.92438101768494
thumbs up,145.902086019516
thumbs up,149.92734789848328
pointing finger,153.41961312294006
peace,156.66839790344238
ok sign,160.96954488754272
pointing finger,164.8728370666504
ok sign,168.0814549922943
pointing finger,171.86315989494324
