Activity,Timestamp
pointing finger,5.348449945449829
writing,9.211441993713379
moving an object,28.18563485145569
stacking blocks,47.48567581176758
using controller,74.11565899848938
pouring water,92.25339484214783
ok sign,116.397451877594
ok sign,119.47892189025879
ok sign,122.35431790351868
peace,125.41647601127625
peace,128.21075701713562
pointing finger,130.23863697052002
open palm,133.14433789253235
peace,135.5828549861908
thumbs up,138.02374386787415
pointing finger,140.577476978302
thumbs up,143.51280999183655
thumbs up,146.2067048549652
open palm,149.3198390007019
open palm,151.92121195793152
