Activity,Timestamp
ok sign,17.863533973693848
ok sign,28.86154294013977
pointing finger,31.428519010543823
open palm,34.28915810585022
open palm,37.79124999046326
pouring water,40.65332102775574
stacking blocks,68.3900740146637
writing,104.44511914253235
ok sign,133.5400049686432
moving an object,136.69526505470276
pointing finger,149.95243000984192
thumbs up,152.33081603050232
using controller,154.63905811309814
peace,185.44395208358765
peace,188.14479398727417
thumbs up,190.0083830356598
thumbs up,192.34280705451965
pointing finger,194.3620970249176
open palm,196.58322405815125
peace,199.78079199790955
