,Timestamp,frame_path
0,0.0,../../video_data/frames/participant_1\frame_01_0.0.jpg
1,0.001,../../video_data/frames/participant_1\frame_01_0.001.jpg
2,0.006,../../video_data/frames/participant_1\frame_01_0.006.jpg
3,0.007,../../video_data/frames/participant_1\frame_01_0.007.jpg
4,0.035,../../video_data/frames/participant_1\frame_01_0.035.jpg
5,0.036,../../video_data/frames/participant_1\frame_01_0.036.jpg
6,0.073,../../video_data/frames/participant_1\frame_01_0.073.jpg
7,0.074,../../video_data/frames/participant_1\frame_01_0.074.jpg
8,0.107,../../video_data/frames/participant_1\frame_01_0.107.jpg
9,0.135,../../video_data/frames/participant_1\frame_01_0.135.jpg
10,0.137,../../video_data/frames/participant_1\frame_01_0.137.jpg
11,0.166,../../video_data/frames/participant_1\frame_01_0.166.jpg
12,0.17,../../video_data/frames/participant_1\frame_01_0.17.jpg
13,0.201,../../video_data/frames/participant_1\frame_01_0.201.jpg
14,0.204,../../video_data/frames/participant_1\frame_01_0.204.jpg
15,0.234,../../video_data/frames/participant_1\frame_01_0.234.jpg
16,0.235,../../video_data/frames/participant_1\frame_01_0.235.jpg
17,0.265,../../video_data/frames/participant_1\frame_01_0.265.jpg
18,0.266,../../video_data/frames/participant_1\frame_01_0.266.jpg
19,0.27,../../video_data/frames/participant_1\frame_01_0.27.jpg
20,0.303,../../video_data/frames/participant_1\frame_01_0.303.jpg
21,0.305,../../video_data/frames/participant_1\frame_01_0.305.jpg
22,0.331,../../video_data/frames/participant_1\frame_01_0.331.jpg
23,0.335,../../video_data/frames/participant_1\frame_01_0.335.jpg
24,0.366,../../video_data/frames/participant_1\frame_01_0.366.jpg
25,0.37,../../video_data/frames/participant_1\frame_01_0.37.jpg
26,0.402,../../video_data/frames/participant_1\frame_01_0.402.jpg
27,0.404,../../video_data/frames/participant_1\frame_01_0.404.jpg
28,0.433,../../video_data/frames/participant_1\frame_01_0.433.jpg
29,0.436,../../video_data/frames/participant_1\frame_01_0.436.jpg
30,0.466,../../video_data/frames/participant_1\frame_01_0.466.jpg
31,0.467,../../video_data/frames/participant_1\frame_01_0.467.jpg
