,Timestamp,frame_path
0,0.0,../../video_data/frames/participant_2\frame_02_0.0.jpg
1,0.003,../../video_data/frames/participant_2\frame_02_0.003.jpg
2,0.004,../../video_data/frames/participant_2\frame_02_0.004.jpg
3,0.034,../../video_data/frames/participant_2\frame_02_0.034.jpg
4,0.041,../../video_data/frames/participant_2\frame_02_0.041.jpg
5,0.068,../../video_data/frames/participant_2\frame_02_0.068.jpg
6,0.072,../../video_data/frames/participant_2\frame_02_0.072.jpg
7,0.1,../../video_data/frames/participant_2\frame_02_0.1.jpg
8,0.103,../../video_data/frames/participant_2\frame_02_0.103.jpg
9,0.141,../../video_data/frames/participant_2\frame_02_0.141.jpg
10,0.142,../../video_data/frames/participant_2\frame_02_0.142.jpg
11,0.168,../../video_data/frames/participant_2\frame_02_0.168.jpg
12,0.171,../../video_data/frames/participant_2\frame_02_0.171.jpg
13,0.212,../../video_data/frames/participant_2\frame_02_0.212.jpg
14,0.233,../../video_data/frames/participant_2\frame_02_0.233.jpg
15,0.234,../../video_data/frames/participant_2\frame_02_0.234.jpg
16,0.239,../../video_data/frames/participant_2\frame_02_0.239.jpg
17,0.24,../../video_data/frames/participant_2\frame_02_0.24.jpg
18,0.269,../../video_data/frames/participant_2\frame_02_0.269.jpg
19,0.27,../../video_data/frames/participant_2\frame_02_0.27.jpg
20,0.271,../../video_data/frames/participant_2\frame_02_0.271.jpg
21,0.273,../../video_data/frames/participant_2\frame_02_0.273.jpg
22,0.299,../../video_data/frames/participant_2\frame_02_0.299.jpg
23,0.303,../../video_data/frames/participant_2\frame_02_0.303.jpg
24,0.336,../../video_data/frames/participant_2\frame_02_0.336.jpg
25,0.34,../../video_data/frames/participant_2\frame_02_0.34.jpg
26,0.375,../../video_data/frames/participant_2\frame_02_0.375.jpg
27,0.376,../../video_data/frames/participant_2\frame_02_0.376.jpg
28,0.399,../../video_data/frames/participant_2\frame_02_0.399.jpg
29,0.402,../../video_data/frames/participant_2\frame_02_0.402.jpg
30,0.403,../../video_data/frames/participant_2\frame_02_0.403.jpg
31,0.436,../../video_data/frames/participant_2\frame_02_0.436.jpg
32,0.44,../../video_data/frames/participant_2\frame_02_0.44.jpg
33,0.472,../../video_data/frames/participant_2\frame_02_0.472.jpg
34,0.501,../../video_data/frames/participant_2\frame_02_0.501.jpg
35,0.502,../../video_data/frames/participant_2\frame_02_0.502.jpg
36,0.537,../../video_data/frames/participant_2\frame_02_0.537.jpg
37,0.541,../../video_data/frames/participant_2\frame_02_0.541.jpg
38,0.542,../../video_data/frames/participant_2\frame_02_0.542.jpg
39,0.568,../../video_data/frames/participant_2\frame_02_0.568.jpg
40,0.571,../../video_data/frames/participant_2\frame_02_0.571.jpg
41,0.6,../../video_data/frames/participant_2\frame_02_0.6.jpg
42,0.601,../../video_data/frames/participant_2\frame_02_0.601.jpg
43,0.617,../../video_data/frames/participant_2\frame_02_0.617.jpg
44,0.639,../../video_data/frames/participant_2\frame_02_0.639.jpg
45,0.64,../../video_data/frames/participant_2\frame_02_0.64.jpg
46,0.641,../../video_data/frames/participant_2\frame_02_0.641.jpg
47,0.674,../../video_data/frames/participant_2\frame_02_0.674.jpg
48,0.675,../../video_data/frames/participant_2\frame_02_0.675.jpg
49,0.677,../../video_data/frames/participant_2\frame_02_0.677.jpg
50,0.703,../../video_data/frames/participant_2\frame_02_0.703.jpg
51,0.707,../../video_data/frames/participant_2\frame_02_0.707.jpg
52,0.708,../../video_data/frames/participant_2\frame_02_0.708.jpg
53,0.738,../../video_data/frames/participant_2\frame_02_0.738.jpg
54,0.741,../../video_data/frames/participant_2\frame_02_0.741.jpg
55,0.742,../../video_data/frames/participant_2\frame_02_0.742.jpg
56,0.768,../../video_data/frames/participant_2\frame_02_0.768.jpg
57,0.772,../../video_data/frames/participant_2\frame_02_0.772.jpg
58,0.805,../../video_data/frames/participant_2\frame_02_0.805.jpg
59,0.809,../../video_data/frames/participant_2\frame_02_0.809.jpg
60,0.834,../../video_data/frames/participant_2\frame_02_0.834.jpg
61,0.835,../../video_data/frames/participant_2\frame_02_0.835.jpg
62,0.839,../../video_data/frames/participant_2\frame_02_0.839.jpg
63,0.867,../../video_data/frames/participant_2\frame_02_0.867.jpg
64,0.868,../../video_data/frames/participant_2\frame_02_0.868.jpg
65,0.871,../../video_data/frames/participant_2\frame_02_0.871.jpg
66,0.905,../../video_data/frames/participant_2\frame_02_0.905.jpg
67,0.908,../../video_data/frames/participant_2\frame_02_0.908.jpg
68,0.936,../../video_data/frames/participant_2\frame_02_0.936.jpg
69,0.937,../../video_data/frames/participant_2\frame_02_0.937.jpg
70,0.94,../../video_data/frames/participant_2\frame_02_0.94.jpg
71,0.941,../../video_data/frames/participant_2\frame_02_0.941.jpg
72,0.968,../../video_data/frames/participant_2\frame_02_0.968.jpg
73,0.969,../../video_data/frames/participant_2\frame_02_0.969.jpg
74,0.972,../../video_data/frames/participant_2\frame_02_0.972.jpg
75,1.006,../../video_data/frames/participant_2\frame_02_1.006.jpg
76,1.01,../../video_data/frames/participant_2\frame_02_1.01.jpg
77,1.037,../../video_data/frames/participant_2\frame_02_1.037.jpg
78,1.04,../../video_data/frames/participant_2\frame_02_1.04.jpg
79,1.041,../../video_data/frames/participant_2\frame_02_1.041.jpg
80,1.068,../../video_data/frames/participant_2\frame_02_1.068.jpg
81,1.072,../../video_data/frames/participant_2\frame_02_1.072.jpg
82,1.105,../../video_data/frames/participant_2\frame_02_1.105.jpg
83,1.108,../../video_data/frames/participant_2\frame_02_1.108.jpg
84,1.109,../../video_data/frames/participant_2\frame_02_1.109.jpg
85,1.135,../../video_data/frames/participant_2\frame_02_1.135.jpg
86,1.136,../../video_data/frames/participant_2\frame_02_1.136.jpg
87,1.154,../../video_data/frames/participant_2\frame_02_1.154.jpg
88,1.168,../../video_data/frames/participant_2\frame_02_1.168.jpg
89,1.173,../../video_data/frames/participant_2\frame_02_1.173.jpg
90,1.204,../../video_data/frames/participant_2\frame_02_1.204.jpg
91,1.205,../../video_data/frames/participant_2\frame_02_1.205.jpg
92,1.208,../../video_data/frames/participant_2\frame_02_1.208.jpg
93,1.209,../../video_data/frames/participant_2\frame_02_1.209.jpg
94,1.236,../../video_data/frames/participant_2\frame_02_1.236.jpg
95,1.237,../../video_data/frames/participant_2\frame_02_1.237.jpg
96,1.243,../../video_data/frames/participant_2\frame_02_1.243.jpg
97,1.27,../../video_data/frames/participant_2\frame_02_1.27.jpg
98,1.273,../../video_data/frames/participant_2\frame_02_1.273.jpg
99,1.274,../../video_data/frames/participant_2\frame_02_1.274.jpg
100,1.307,../../video_data/frames/participant_2\frame_02_1.307.jpg
101,1.313,../../video_data/frames/participant_2\frame_02_1.313.jpg
102,1.314,../../video_data/frames/participant_2\frame_02_1.314.jpg
103,1.338,../../video_data/frames/participant_2\frame_02_1.338.jpg
104,1.341,../../video_data/frames/participant_2\frame_02_1.341.jpg
