Timestamp,QuatI_0,QuatJ_0,QuatK_0,QuatSum_0,QuatI_1,QuatJ_1,QuatK_1,QuatSum_1,QuatI_2,QuatJ_2,QuatK_2,QuatSum_2,QuatI_3,QuatJ_3,QuatK_3,QuatSum_3,QuatI_4,QuatJ_4,QuatK_4,QuatSum_4,QuatI_5,QuatJ_5,QuatK_5,QuatSum_5,Activity
0.0,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3779164346330997,-0.5215931924455998,0.6861439736955997,-0.3381215127580999,-0.6474277694938986,-0.0357334335563985,0.1186802109001485,-0.7519809921501488,0.0795542207385501,-0.6346181425426999,0.6997426542614498,0.3182627168323002,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0894117596156846,-0.6889695880405654,0.3193406817905652,-0.6444749591343155,Unknown
0.032,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3779164346330997,-0.5215931924455998,0.6861439736955997,-0.3381215127580999,-0.6474277694938986,-0.0357334335563985,0.1186802109001485,-0.7519809921501488,0.0795954636972642,-0.6346989698964858,0.6997014113027356,0.3181818894785143,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0892971451118923,-0.6890231673881078,0.3192721908256075,-0.6444675033256078,Unknown
0.068,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3779721522739917,-0.5212826991489917,0.6863217616489916,-0.3381772303989919,-0.6472041753208453,-0.0356319096958453,0.1186397221958452,-0.7521846440708455,0.0794054297637013,-0.6345227928925486,0.6998304100800485,0.3182970313262013,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0890430454387274,-0.6891551967487726,0.3190380092487724,-0.6444774623737726,Unknown
0.098,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3779721522739917,-0.5212826991489917,0.6863217616489916,-0.3381772303989919,-0.6472318575485224,-0.0355375216110224,0.1187284395797723,-0.7521512911422725,0.0792524185224815,-0.6344926986650185,0.6998613510087683,0.3183271255537316,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0887480784281932,-0.6896332692280569,0.3186005543843067,-0.6442231129780569,Unknown
0.13,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3777922439054637,-0.5214079665617137,0.6862639235929636,-0.3383024978117137,-0.6472355773912388,-0.0357853820787388,0.1186100891099887,-0.752155010984989,0.0792936265900455,-0.6345735609099544,0.6998201429412043,0.3182462633087956,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0883886985802161,-0.6901147193885339,0.3182885475135337,-0.643911106107284,Unknown
0.167,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3775368155433671,-0.5213356436683672,0.686374706168367,-0.3384743155433672,-0.647000238328078,-0.035977289109328,0.1186188906718279,-0.7523469180155782,0.0794720235139671,-0.6343341288297829,0.7001300272672828,0.3179974141389671,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.088067816124902,-0.6905576721563481,0.3177549377813478,-0.6437437073125981,Unknown
0.198,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3771773468668149,-0.5212203156168149,0.6866866242105648,-0.3384200226480649,-0.6467058556506056,-0.0361711876818556,0.1189348595568555,-0.7525408165881058,0.0796505207656931,-0.6340945964218069,0.7001346354843068,0.3184200520156932,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0878596702655553,-0.6912540992656947,0.3168644508281945,-0.6434635719219447,Unknown
0.234,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.1299391795241787,-0.6570387888991788,0.7424269724929285,-0.0147658396804287,-0.3769148104234758,-0.521323990110976,0.6868513338609759,-0.3382185213609758,-0.6466479869638383,-0.0367236705575883,0.1190600963388382,-0.7525439830575884,0.0800273900019809,-0.634022902966769,0.7001239771855189,0.318491745470731,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,Unknown
0.267,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3768764686032287,-0.5213466834469788,0.6868740271969787,-0.3381801795407289,-0.6465986439822202,-0.03691846820097,0.1191938588259699,-0.7525556752322202,0.0801187482844687,-0.6339315446842813,0.700154689215531,0.3185831037532188,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.0872795397967535,-0.6920173352032465,0.3161628430157463,-0.6430671398907466,Unknown
0.299,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,-0.3769792952175163,-0.5215105452175163,0.6867327131862662,-0.3380999006862664,-0.6466018704033772,-0.0369827297783772,0.1191360500908771,-0.7525589016533774,0.0801599109592889,-0.634012452321961,0.7001135265407109,0.318502196115539,-4.329637285359677e-17,-0.7071067811865476,0.7071067811865475,-4.329637285359678e-17,0.087238046991992,-0.691570546758008,0.3165705467580078,-0.643352773320508,Unknown
